ad_cv_id,question,answer
156628786-420110,địa chỉ đang sống hiện tại?,322/15/4/3 Nguyễn Tất Thành p13 Q4
156628786-420110,trình độ học vấn của bạn?,10/12
156628786-420840,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m7 
60kg 
21/12/2002"
156628786-420840,địa chỉ đang sống hiện tại?,B78/43D Tôn Thất Thuyết Phường 16 Quận 4
156628786-420840,trình độ học vấn của bạn?,Cấp 1
156628786-421320,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m66, 70kg, sinh ngày 22 tháng 4 năm 1999"
156628786-421320,địa chỉ đang sống hiện tại?,Q4 Thành Phố Hồ Chí Minh
156628786-421320,trình độ học vấn của bạn?,12/12
156628786-421364,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",chiều cao:1m73 cân nặng 90kg & 03/061998
156628786-421364,địa chỉ đang sống hiện tại?,Q7 TPHCM
156628786-421364,trình độ học vấn của bạn?,12/12
156628786-421615,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m65 nặng 70 29/12/1996
156628786-421615,địa chỉ đang sống hiện tại?,152 đường số 5 kdc phong phú bình chánh
156628786-421615,trình độ học vấn của bạn?,Thpt Tạ Quang Bửu
156628786-422900,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m65 
Nặng 70
28/12/1998"
156628786-422900,địa chỉ đang sống hiện tại?,243/53/19/19 tôn đản phường 15 quận 4
156628786-422900,trình độ học vấn của bạn?,5/12
156628786-422954,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","Chiều cao : 1m7
Nặng 60kg
Sinh ngày 06/05/1991"
156628786-422954,địa chỉ đang sống hiện tại?,180/39 Bùi Văn Ba Quận 7
156628786-422954,trình độ học vấn của bạn?,12/12
156628786-423081,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Nam sn 1990 1m76 65kg
156628786-423081,địa chỉ đang sống hiện tại?,769 phạm thế hiển p4 q8
156628786-423081,trình độ học vấn của bạn?,12/12
156628786-424038,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","Cao: 1m75
Nặng: 63kg
Sinh ngày : 08/07/2003"
156628786-424038,địa chỉ đang sống hiện tại?,"Lý Phục Man, Bình Thuận, Quận 7"
156628786-424038,trình độ học vấn của bạn?,Sinh viên năm 2
156628786-424222,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m73 nặng 75kg sinh 04/04/1990
156628786-424222,địa chỉ đang sống hiện tại?,2/39a cao thắng p5.q3
156628786-424222,trình độ học vấn của bạn?,9/12
156628786-426256,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","Chiều cao 1m68
Cân nặng 57kg
Sinh ngày 26/03/1983"
156628786-426256,địa chỉ đang sống hiện tại?,"33/3 Ấp Tiền Lân, Bà Điểm, Hóc Môn Tphcm "
156628786-426256,trình độ học vấn của bạn?,11/12
156628786-427035,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Cao1m58 nặng 41kg. Sinh năm 04/01/2005
156628786-427035,địa chỉ đang sống hiện tại?,"Lê Lư, Phú Thọ Hòa, Tân Phú "
156628786-427035,trình độ học vấn của bạn?,Đại học
156628786-2763344,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m68 50kg 25/10/1997
156628786-2763344,địa chỉ đang sống hiện tại?,"373/54/11 Hà Huy Giáp K.P3 P.Thạnh Xuân Q.12
"
156628786-2763344,trình độ học vấn của bạn?,Cao Đẳng
156628786-2763796,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","cao: 1m8
cân nặng: 70kg"
156628786-2763796,địa chỉ đang sống hiện tại?,"1929 Phạm Thế Hiển, Phường 06, Quận 8, TpHCM"
156628786-2763796,trình độ học vấn của bạn?,THPT
156628786-2763814,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","m67, 55kg, 27,02,2003"
156628786-2763814,địa chỉ đang sống hiện tại?,"176 Nguyễn Thị Thập, Bình Thuận, Quận 7"
156628786-2763814,trình độ học vấn của bạn?,12
156628786-2763820,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m68 nặng 52 ký năm sinh 01 01 2002
156628786-2763820,địa chỉ đang sống hiện tại?,167 phạm hữu lầu phường phú mỹ quận 7
156628786-2763820,trình độ học vấn của bạn?,8/12
156628786-2764447,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Cao 1m65 nặng 62kg sinh ngày 25/03/2001
156628786-2764447,địa chỉ đang sống hiện tại?,25a ấp 2 xã phước lộc huyện nhà bè
156628786-2764447,trình độ học vấn của bạn?,Tốt nghiệp trung học phổng thông
156628786-2765262,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",175cm 67kg 14/02/1993
156628786-2765262,địa chỉ đang sống hiện tại?,633/9c Lê Hồng Phong p10 q10
156628786-2765262,trình độ học vấn của bạn?,11/12
156628786-2766246,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","Cao 1m67
79kg
19/03/2003"
156628786-2766246,địa chỉ đang sống hiện tại?,26/3b khu phố 4 thị trấn nhà bè
156628786-2766246,trình độ học vấn của bạn?,12/12
156628786-2766920,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Cao 160cm nặng 70kg sinh ngày 19/03/2001
156628786-2766920,địa chỉ đang sống hiện tại?,B5/141A Ấp 2 Xã Đa Phước Huyện Bình Chánh TPHCM
156628786-2766920,trình độ học vấn của bạn?,12/12
156628786-2767877,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m60
156628786-2767877,địa chỉ đang sống hiện tại?,157/103b dương bá trạc phường 1 quận 8
156628786-2767877,trình độ học vấn của bạn?,5/12
156628786-2768176,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m7 69kg 25/10/1999
156628786-2768176,địa chỉ đang sống hiện tại?,1716 Huỳnh Tấn phát Huyện Nhà Bè TPHCM
156628786-2768176,trình độ học vấn của bạn?,12/12
156628786-2768780,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m72
156628786-2768780,địa chỉ đang sống hiện tại?,256 huỳnh tấn phát tân thuận tây quận 7 TP.Hồ Chí Minh
156628786-2768780,trình độ học vấn của bạn?,9/12
156628786-2768782,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Cao 1m6 nang 49kg
156628786-2768782,địa chỉ đang sống hiện tại?,Thành phố hô chí minh
156628786-2768782,trình độ học vấn của bạn?,12/12
156628786-2770535,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","21-06-1999
1m72
65ky


chiều cao 1m72 
câng nặng 64ky
21-06-1999












 
"
156628786-2770535,địa chỉ đang sống hiện tại?,"477 phạm văn đồng phường 13 quận Bình thạnh

477 phạm văn đồng phường 13 Quận Bình Thạnh
"
156628786-2770535,trình độ học vấn của bạn?,12/12
156628786-2771215,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m75 55kg 30/12/2002
156628786-2771215,địa chỉ đang sống hiện tại?,115 ấp 3 phước lộc nhà bè tphcm
156628786-2771215,trình độ học vấn của bạn?,12/12
156628786-2772127,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m6,45kg,21 10 1999"
156628786-2772127,địa chỉ đang sống hiện tại?,quận 7
156628786-2772127,trình độ học vấn của bạn?,12
156628786-2773709,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m71,70kg
23/01/1992"
156628786-2773709,địa chỉ đang sống hiện tại?,"264/10/20 lê văn lương ,tân hưng,q7"
156628786-2773709,trình độ học vấn của bạn?,Cao đẳng
156628786-2777182,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","164 cm,60kg,19/08/1974"
156628786-2777182,địa chỉ đang sống hiện tại?,107/20 đường 14 phường Bình Hưng Hòa A quan Bình Tân
156628786-2777182,trình độ học vấn của bạn?,12/12
156628786-2777520,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m65.nang 65kg.ngay 10/6/88
156628786-2777520,địa chỉ đang sống hiện tại?,113/45duong hoai thanh .p14.q8
156628786-2777520,trình độ học vấn của bạn?,cap3
156628786-2777540,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Chiều cao 1 mét 65 m cân nặng 74 kg
156628786-2777540,địa chỉ đang sống hiện tại?,769/44/29d/2 phường 4 quận 8 Phạm Thế Hiển
156628786-2777540,trình độ học vấn của bạn?,5.12
156628786-2779496,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Em biết cửa hàng qua app công việc
156628786-2779496,địa chỉ đang sống hiện tại?,Dạ rất phù hợp ạ
156628786-2779496,trình độ học vấn của bạn?,Dạ em đã xem hết
156628786-2780454,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Cao 1m65 nặng 70kg 29/12/1996
156628786-2780454,địa chỉ đang sống hiện tại?,152 đường số 5 ấp 5 KDC phong phú bình chánh tphcm
156628786-2780454,trình độ học vấn của bạn?,THPT Tạ Quang Bửu
156628786-2780479,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m65 nặng 70kg 29/12/1996
156628786-2780479,địa chỉ đang sống hiện tại?,152 đường số 5 ấp 5 KDC phong phú bình chánh tphcm
156628786-2780479,trình độ học vấn của bạn?,THPT Tạ Quang Bửu
156628786-2781445,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m73
156628786-2781445,địa chỉ đang sống hiện tại?,1248 huỳnh tấn phát
156628786-2781445,trình độ học vấn của bạn?,12/12
156628786-2792029,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m73 
"
156628786-2792029,địa chỉ đang sống hiện tại?,Q4 tp hcm
156628786-2792029,trình độ học vấn của bạn?,12/12
156628786-2811158,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","Cao: 1M62
Nặng: 55kg
Ngày sinh: 05/06/2000"
156628786-2811158,địa chỉ đang sống hiện tại?,300/34/8 Nguyễn Văn Linh Quận 7.
156628786-2811158,trình độ học vấn của bạn?,12/12
156628786-2917070,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m69 94kg 26/1/2000
156628786-2917070,địa chỉ đang sống hiện tại?,16/1 kp4 thị trấn nhà bè dương cát lợi
156628786-2917070,trình độ học vấn của bạn?,tốt nghiệp thpt
156869739-424683,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","Chiều cao 1m73
Cân nặng 70kg
Sinh ngày 25/08/1999"
156869739-424683,địa chỉ đang sống hiện tại?,"796/17/74 Lê Đức Thọ, phường 15, quận Gò Vấp, Thành phố Hồ Chí Minh."
156869739-424683,trình độ học vấn của bạn?,Tốt nghiệp Đại Học.
156869739-428180,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m68. 54kg sn1989
156869739-428180,địa chỉ đang sống hiện tại?,129 tx14 thạnh xuân quận 12
156869739-428180,trình độ học vấn của bạn?,Trung học
156869739-441204,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","cao 1m7
nặng 72kg
"
156869739-441204,địa chỉ đang sống hiện tại?,phường 14 quận gò vấp
156869739-441204,trình độ học vấn của bạn?,cao đẳng
156869739-2790310,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",chiều cao : 1m73 - cân nặng : 80kg- ngày tháng năm sinh : 02/02/1985
156869739-2790310,địa chỉ đang sống hiện tại?,"8/13 đường TA15, P. Thới An, Q12"
156869739-2790310,trình độ học vấn của bạn?,Trung cấp
156869739-2795383,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",1m65 54kg 06/03/1991
156869739-2795383,địa chỉ đang sống hiện tại?,146/59/18/2 vũ tùng p2 quận bình thạnh TpHM
156869739-2795383,trình độ học vấn của bạn?,Cao đằng nghề
156869739-2802870,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","• 1m70, 90kg
• 24/09/1992"
156869739-2802870,địa chỉ đang sống hiện tại?,"55/19/9 Nguyễn Văn Công, phường 3, Quận Gò Vấp, Thành Phố Hồ Chí Minh"
156869739-2802870,trình độ học vấn của bạn?,11/12
156869739-2805018,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m65 70kg
21/03/2002"
156869739-2805018,địa chỉ đang sống hiện tại?,134/8 đường TX14 Thạnh Xuân quận 12
156869739-2805018,trình độ học vấn của bạn?,12/12
156869739-2823115,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",Cao 1m69 Cân nặng 60kg Sn 23/04/1989
156869739-2823115,địa chỉ đang sống hiện tại?,137/18 Đường 59 Phường 14 Quận Gò Vấp TPHCM
156869739-2823115,trình độ học vấn của bạn?,Tốt nghiệp THPT
156869739-2859373,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","166cm, nặng 61kg"
156869739-2859373,địa chỉ đang sống hiện tại?,"tân bình, HCM"
156869739-2859373,trình độ học vấn của bạn?,cấp 3
156869739-2930929,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","1m68, 70kg, sn 01/01/1994"
156869739-2930929,địa chỉ đang sống hiện tại?,"Đường lê văn khương, quận 12"
156869739-2930929,trình độ học vấn của bạn?,12/12
156869739-2936204,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","Cao 1m69
Nặng 53kg
Sinh: 18/09/2000"
156869739-2936204,địa chỉ đang sống hiện tại?,"1/15 nghĩa hưng, phường 6, quận Gò Vấp"
156869739-2936204,trình độ học vấn của bạn?,Cấp 3
156869739-2939181,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?",11/02/1989
156869739-2939181,địa chỉ đang sống hiện tại?,gò vấp tp hcm
156869739-2939181,trình độ học vấn của bạn?,12/12
156869739-2989496,"chiều cao, cân nặng và ngày tháng, năm, sinh của bạn?","177 cm, 89kg, 26/11/1993"
156869739-2989496,địa chỉ đang sống hiện tại?,"40 ĐHT 18, Kp 2a, P. Đông Hưng Thuận, Q12, TPHCM"
156869739-2989496,trình độ học vấn của bạn?,12/12
157102659-429786,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,8000000
157102659-429786,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,11/12. bằng cấp 2
157102659-430188,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Thương lượng với quản lý hoặc chủ ạ
157102659-430188,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Tìm hiểu
157102659-436097,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,70000
157102659-436097,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 3
157102659-436356,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Thỏa thuận
157102659-436356,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12
157102659-442207,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,8.000.000
157102659-442207,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Không
157102659-2817336,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000
157102659-2817336,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng 12
157102659-2817678,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,6-7tr
157102659-2817678,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,"
Cao đẳng"
157102659-2818767,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,10.000.000
157102659-2818767,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12
157102659-2818907,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7000000
157102659-2818907,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp3
157102659-2819063,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,6tr
157102659-2819063,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,bằng cấp 2
157102659-2819134,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,4tr5 đến 5tr
157102659-2819134,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 2
157102659-2819429,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Trao đổi sau
157102659-2819429,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 3
157102659-2819623,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.500.000
157102659-2819623,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 3
157102659-2823259,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,6tr5-7tr5
157102659-2823259,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12
157102659-2824342,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,6.500.000 - 7.500.000
157102659-2824342,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,THCS
157102659-2825340,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7-9tr
157102659-2825340,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,bằng THPT
157102659-2827528,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7tr5
157102659-2827528,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,thcs
157102659-2830759,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7000000
157102659-2830759,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,"Thpt,chứng chỉ kế toán,"
157102659-2832960,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,8 triệu
157102659-2832960,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12
157102659-2840174,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Dạ 7-10tr
157102659-2840174,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 2 ạ
157102659-2840761,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7 triệu
157102659-2840761,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,THCS
157102659-2844828,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,em mong muốn được nhiều lương cho nên e sẽ cố gắng ạ
157102659-2844828,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,dạ e đang học đại học
157102659-2856319,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Từ 6.500.000 - 8.000.000
157102659-2856319,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12. Bằng THPT
157102659-2857964,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7000000
157102659-2857964,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 3
157102659-2859361,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,"6,7 triệu"
157102659-2859361,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,cao đẳng
157102659-2895332,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,6tr trở lên ạ
157102659-2895332,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Đại học
157102659-2969268,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7trieu
157102659-2969268,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 2
157102659-2990110,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,"tối thiểu 7.000.000
"
157102659-2990110,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Trung cấp nghề
157102659-2998967,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,8triệu/ tháng ạ
157102659-2998967,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,đã tốt nghiệp cấp 3
157102659-3024526,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000
157102659-3024526,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,"Bằng cấp 2 ạ
"
157102659-3030070,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,3tr-6tr
157102659-3030070,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,"hơi bất tiện, vì giấy tờ để dưới quê "
157102659-3031929,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.500.000/ 1 tháng
157102659-3031929,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 2 dạ có
157102659-3042508,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,4-5 triệu
157102659-3042508,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,THPT
157102659-3042609,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Phù hợp với năng lực của em
157102659-3042609,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Hiện tại em đang là sinh viên cuối năm 2
157102659-3053055,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Tuỳ thuộc vào năng lực
157102659-3053055,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng c3
157205055-2833742,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,5tr
157205055-2833742,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,THCS
157205055-2837019,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000 - 9.000.000
157205055-2837019,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,THPT
157240086-2870311,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,8000000
157240086-2870311,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,thcs
157276755-433882,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000
157276755-433882,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Có thể nộp bản sao có công chứng
157276755-437239,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000-9.000.000
157276755-437239,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Trung học cơ sở
157276755-443353,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,
157276755-443353,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,
157276755-455753,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Hợp lí nhất có thể
157276755-455753,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng trung cấp
157276755-2845325,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000
157276755-2845325,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,bằng cấp 3
157276755-2851883,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7triệu.
157276755-2851883,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng trung học phổ thông
157276755-2858224,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7-8000tr
157276755-2858224,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng Trung học phổ thông
157276755-2868700,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000
157276755-2868700,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,"bằng tốt nghiệp cấp 2 và bằng tốt nghiệp trung cấp nghề 
"
157276755-2874606,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000
157276755-2874606,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,cẩp 2
157276755-2888343,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,23k
157276755-2888343,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12
157276755-2910209,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,6 triệu
157276755-2910209,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng THCS
157276755-2911507,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,6500000
157276755-2911507,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12 tot nghiep
157276755-2951199,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7tr
157276755-2951199,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 3
157276755-2982817,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Mức lương mong muốn là 7tr5-8tr
157276755-2982817,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,THPT 12/12
157276755-3071819,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7 triệu
157276755-3071819,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,THCS do giữa năm 12 nghỉ và hiện tại bằng THCS Sở giáo dục đang giữ. Có thể bổ sung sau được không ạ
157276755-3090710,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Mức lương như thông tin tuyển dụng
157276755-3090710,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Đang là sinh viên năm 4 Đại Học Công Nghiệp chuyên ngành kế toán kiểm toán
157277385-2877648,2. mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7.000.000đ
157721873-457116,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Thương lượng sau
157721873-457116,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Thpt
157721873-2908321,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,7-9tr
157721873-2908321,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,TRung cấp
157721873-2908861,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Tầm 7tr đến 8tr a
157721873-2908861,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng cấp 2 a
157721873-2910501,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,dạ 7tr ạ
157721873-2910501,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,cấp 2 ạ
157721873-2938601,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,8tr
157721873-2938601,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cao đẳng
157721873-2942715,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,8 triệu
157721873-2942715,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Bằng Trung Học Phổ Thông
157721873-2980605,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,10000000
157721873-2980605,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,12/12
157929054-451180,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",Ca 1 ca 2
157929054-451425,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",Có thể làm 1 trong 2 cái nào cũng được
157929054-451977,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",Có thể làm ca 6h-13h30
157929054-490493,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",6h-14h30
157929054-2934461,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",6h đến 14h30 có thể xoay ca
157929054-2934788,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",Cả 2
157929054-2947301,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",6h-14h30
157929054-2951728,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",làm ca sáng
157929054-2952785,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?","Thời gian 1 buổi sáng và chiều tối.xoay ca, 2 tuần 1 lần. "
157929054-2952913,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",Ca 3 (21g30-6g)
157929054-2982657,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",Ca đêm (21h30 - 6h00)
157929054-2994332,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",Cả 2
157929054-3175646,"hiện tại công việc này có 2 thời gian (mục mô tả công việc), bạn làm được theo thời gian nào?",ca đêm
158240307-460489,mức lương mong muốn của bạn khi ứng tuyển vào vị trí này?,Từ 7.500.000đ
158240307-460489,trình độ học vấn (bằng cấp tối thiểu có thể nộp được)?,Cấp 3
